,LocationDesc,Income,LocationAbbr,DataValue
0,Alabama,53612.9258555133,AL,334.6
1,Alaska,77670.20952380952,AK,137.8
2,Arizona,62578.071312803884,AZ,215.2
3,Arkansas,52060.361764705885,AR,327.3
4,California,78126.73780487805,CA,204.2
5,Colorado,73322.82129277567,CO,176.2
6,Connecticut,89227.21971830986,CT,249.7
7,Delaware,70142.34090909091,DE,268.2
8,District of Columbia,90668.421875,DC,251.5
9,Florida,60887.889825406375,FL,295.1
10,Georgia,60354.39119804402,GA,226.9
11,Hawaii,77859.58695652174,HI,240.6
12,Idaho,56211.44295302014,ID,219.5
13,Illinois,69067.38155136269,IL,255.3
14,Indiana,59153.83238636363,IN,275.9
15,Iowa,62569.145374449334,IA,282.8
16,Kansas,61704.818897637786,KS,265.1
17,Kentucky,55250.162977867214,KY,292.2
18,Louisiana,55432.26418786693,LA,294.2
19,Maine,60708.52229299362,ME,274.6
20,Maryland,87689.60409556316,MD,244.2
21,Massachusetts,84878.68358208955,MA,228.6
22,Michigan,59001.124361158436,MI,317.5
23,Minnesota,71403.9984399376,MN,197.8
24,Mississippi,48924.00311526481,MS,328.4
25,Missouri,56674.88285714286,MO,304.8
26,Montana,57350.55405405405,MT,255.2
27,Nebraska,61719.38545454545,NE,242.8
28,Nevada,65684.12075471698,NV,249.7
29,New Hampshire,76113.50381679389,NH,238.2
30,New Jersey,88657.64414414414,NJ,260.0
31,New Mexico,57127.075,NM,220.0
32,New York,76201.22083333334,NY,269.5
33,North Carolina,57750.10491803278,NC,242.3
34,North Dakota,65137.06722689076,ND,254.5
35,Ohio,59675.863602668636,OH,306.2
36,Oklahoma,55121.33125,OK,321.3
37,Oregon,63597.049095607224,OR,232.0
38,Pennsylvania,64878.69491525424,PA,316.8
39,Rhode Island,72971.1743119266,RI,276.4
40,South Carolina,55715.248366013075,SC,274.8
41,South Dakota,58276.9609375,SD,271.1
42,Tennessee,56271.952459016386,TN,303.7
43,Texas,65407.010434782605,TX,204.5
44,Utah,72132.21455938698,UT,155.5
45,Vermont,63195.49397590361,VT,270.5
46,Virginia,79401.74012738852,VA,221.8
47,Washington,74067.36191860466,WA,206.8
48,West Virginia,52291.99596774193,WV,340.3
49,Wisconsin,64143.25519287834,WI,258.6
50,Wyoming,67552.66666666669,WY,223.9
